work_year,country_name,job_title,experience_level,salary,remote_ratio
2020,Austria,Data Scientist,Senior Level,91237.0,0.0
2020,France,Data Analyst,Mid Level,46759.0,50.0
2020,France,Data Scientist,Entry Level,45618.5,0.0
2020,France,Data Scientist,Mid Level,42197.0,50.0
2020,Germany,Data Scientist,Entry Level,55997.0,25.0
2020,Germany,Data Scientist,Mid Level,79833.0,0.0
2020,Hungary,Data Scientist,Mid Level,35735.0,50.0
2020,India,Data Analyst,Entry Level,6072.0,0.0
2020,India,Data Scientist,Mid Level,40481.0,0.0
2020,Luxembourg,Data Scientist,Mid Level,62726.0,50.0
2020,Nigeria,Data Analyst,Entry Level,10000.0,100.0
2020,Pakistan,Data Analyst,Mid Level,8000.0,50.0
2020,Spain,Data Scientist,Mid Level,38776.0,100.0
2020,United Kingdom,Data Scientist,Mid Level,76958.0,100.0
2020,United States,Data Analyst,Entry Level,81500.0,100.0
2020,United States,Data Analyst,Mid Level,85000.0,100.0
2020,United States,Data Scientist,Entry Level,105000.0,100.0
2020,United States,Data Scientist,Mid Level,101777.5,100.0
2020,United States,Data Scientist,Senior Level,200142.66666666666,83.33333333333333
2021,Austria,Data Scientist,Mid Level,61467.0,50.0
2021,Brazil,Data Scientist,Mid Level,12901.0,0.0
2021,Canada,Data Analyst,Senior Level,71786.0,100.0
2021,Canada,Data Scientist,Mid Level,75774.0,100.0
2021,Canada,Data Scientist,Senior Level,95714.5,100.0
2021,Chile,Data Scientist,Mid Level,40038.0,100.0
2021,France,Data Analyst,Entry Level,59102.0,50.0
2021,France,Data Scientist,Entry Level,43144.5,50.0
2021,France,Data Scientist,Senior Level,65438.0,50.0
2021,Germany,Data Analyst,Senior Level,63831.0,50.0
2021,Germany,Data Scientist,Mid Level,73913.5,62.5
2021,India,Data Scientist,Entry Level,29075.0,75.0
2021,India,Data Scientist,Mid Level,20059.333333333332,33.333333333333336
2021,Israel,Data Scientist,Mid Level,119059.0,100.0
2021,Mexico,Data Scientist,Mid Level,2859.0,0.0
2021,Nigeria,Data Scientist,Mid Level,50000.0,100.0
2021,Spain,Data Scientist,Mid Level,42317.0,100.0
2021,Turkey,Data Scientist,Senior Level,20171.0,50.0
2021,Ukraine,Data Scientist,Entry Level,13400.0,100.0
2021,United Kingdom,Data Analyst,Mid Level,51519.0,50.0
2021,United Kingdom,Data Scientist,Mid Level,86585.0,50.0
2021,United States,Data Analyst,Entry Level,70000.0,100.0
2021,United States,Data Analyst,Mid Level,89166.66666666667,66.66666666666667
2021,United States,Data Analyst,Senior Level,140000.0,100.0
2021,United States,Data Scientist,Entry Level,85600.0,70.0
2021,United States,Data Scientist,Mid Level,108019.88888888889,66.66666666666667
2021,United States,Data Scientist,Senior Level,150000.0,50.0
2021,Viet Nam,Data Scientist,Entry Level,4000.0,0.0
2022,Australia,Data Scientist,Entry Level,86703.0,50.0
2022,Canada,Data Analyst,Entry Level,59500.0,0.0
2022,Canada,Data Analyst,Mid Level,80000.0,0.0
2022,Canada,Data Analyst,Senior Level,95650.0,100.0
2022,Canada,Data Scientist,Entry Level,52396.0,100.0
2022,Canada,Data Scientist,Mid Level,69336.0,100.0
2022,Greece,Data Analyst,Mid Level,32313.333333333332,100.0
2022,India,Data Scientist,Entry Level,18442.0,100.0
2022,India,Data Scientist,Mid Level,31615.0,100.0
2022,Malaysia,Data Scientist,Entry Level,40000.0,100.0
2022,Poland,Data Scientist,Mid Level,35590.0,100.0
2022,Spain,Data Analyst,Mid Level,38470.0,100.0
2022,Switzerland,Data Scientist,Mid Level,122346.0,0.0
2022,United Kingdom,Data Analyst,Mid Level,50714.75,50.0
2022,United Kingdom,Data Scientist,Mid Level,82888.66666666667,0.0
2022,United Kingdom,Data Scientist,Senior Level,111245.5,0.0
2022,United States,Data Analyst,Executive Level,120000.0,100.0
2022,United States,Data Analyst,Mid Level,102032.5,50.0
2022,United States,Data Analyst,Senior Level,114034.89130434782,82.6086956521739
2022,United States,Data Scientist,Mid Level,121309.09090909091,63.63636363636363
2022,United States,Data Scientist,Senior Level,161970.83333333334,75.0
