work_year,country_name,job_title,experience_level,salary,remote_ratio
2020,Austria,Data Engineer,Mid Level,74130.0,50.0
2020,Austria,Data Scientist,Senior Level,91237.0,0.0
2020,Canada,Machine Learning Manager,Senior Level,117104.0,50.0
2020,China,Machine Learning Engineer,Mid Level,43331.0,0.0
2020,Croatia,Machine Learning Engineer,Senior Level,45618.0,100.0
2020,Denmark,AI Scientist,Entry Level,45896.0,50.0
2020,France,Data Analyst,Mid Level,46759.0,50.0
2020,France,Data Engineer,Mid Level,70139.0,50.0
2020,France,Data Scientist,Entry Level,45618.5,0.0
2020,France,Data Scientist,Mid Level,42197.0,50.0
2020,Germany,Data Engineer,Entry Level,54742.0,100.0
2020,Germany,Data Engineering Manager,Mid Level,59303.0,100.0
2020,Germany,Data Scientist,Entry Level,55997.0,25.0
2020,Germany,Data Scientist,Mid Level,79833.0,0.0
2020,Germany,Principal Data Scientist,Senior Level,148261.0,100.0
2020,Greece,Data Engineer,Senior Level,47899.0,50.0
2020,Honduras,Product Data Analyst,Mid Level,20000.0,0.0
2020,Hungary,Data Scientist,Mid Level,35735.0,50.0
2020,India,Data Analyst,Entry Level,6072.0,0.0
2020,India,Data Science Consultant,Entry Level,5707.0,50.0
2020,India,Data Scientist,Mid Level,40481.0,0.0
2020,India,Product Data Analyst,Mid Level,6072.0,100.0
2020,Japan,Data Engineer,Entry Level,41689.0,100.0
2020,Japan,Machine Learning Scientist,Senior Level,260000.0,0.0
2020,Luxembourg,Data Scientist,Mid Level,62726.0,50.0
2020,Mexico,Data Engineer,Senior Level,33511.0,0.0
2020,Netherlands,Research Scientist,Entry Level,42000.0,50.0
2020,New Zealand,Lead Data Engineer,Senior Level,125000.0,50.0
2020,Nigeria,Data Analyst,Entry Level,10000.0,100.0
2020,Pakistan,Data Analyst,Mid Level,8000.0,50.0
2020,Portugal,Machine Learning Infrastructure Engineer,Mid Level,50180.0,0.0
2020,Spain,Data Engineering Manager,Executive Level,79833.0,50.0
2020,Spain,Data Scientist,Mid Level,38776.0,100.0
2020,United Arab Emirates,Lead Data Scientist,Mid Level,115000.0,0.0
2020,United Kingdom,Big Data Engineer,Senior Level,111535.5,75.0
2020,United Kingdom,Data Engineer,Mid Level,112872.0,50.0
2020,United Kingdom,Data Scientist,Mid Level,76958.0,100.0
2020,United States,BI Data Analyst,Mid Level,98000.0,0.0
2020,United States,Big Data Engineer,Entry Level,70000.0,100.0
2020,United States,Business Data Analyst,Mid Level,135000.0,100.0
2020,United States,Data Analyst,Entry Level,81500.0,100.0
2020,United States,Data Analyst,Mid Level,85000.0,100.0
2020,United States,Data Engineer,Mid Level,115600.0,100.0
2020,United States,Data Engineer,Senior Level,188000.0,100.0
2020,United States,Data Science Consultant,Mid Level,103000.0,100.0
2020,United States,Data Science Manager,Senior Level,190200.0,100.0
2020,United States,Data Scientist,Entry Level,105000.0,100.0
2020,United States,Data Scientist,Mid Level,101777.5,100.0
2020,United States,Data Scientist,Senior Level,200142.66666666666,83.33333333333333
2020,United States,Director of Data Science,Executive Level,325000.0,100.0
2020,United States,Lead Data Analyst,Mid Level,87000.0,100.0
2020,United States,Lead Data Engineer,Mid Level,56000.0,100.0
2020,United States,Lead Data Scientist,Senior Level,190000.0,100.0
2020,United States,Machine Learning Engineer,Entry Level,194000.0,75.0
2020,United States,Machine Learning Engineer,Senior Level,150000.0,50.0
2020,United States,Research Scientist,Mid Level,450000.0,0.0
2021,American Samoa,AI Scientist,Entry Level,18053.0,100.0
2021,Austria,Data Scientist,Mid Level,61467.0,50.0
2021,Belgium,Machine Learning Engineer,Mid Level,88654.0,100.0
2021,Belgium,Machine Learning Engineer,Senior Level,82744.0,50.0
2021,Brazil,Computer Vision Engineer,Senior Level,21453.5,50.0
2021,Brazil,Data Scientist,Mid Level,12901.0,0.0
2021,Canada,Applied Data Scientist,Mid Level,54238.0,50.0
2021,Canada,Big Data Architect,Senior Level,99703.0,50.0
2021,Canada,Data Analyst,Senior Level,71786.0,100.0
2021,Canada,Data Science Engineer,Senior Level,127221.0,50.0
2021,Canada,Data Scientist,Mid Level,75774.0,100.0
2021,Canada,Data Scientist,Senior Level,95714.5,100.0
2021,Canada,Machine Learning Scientist,Senior Level,225000.0,100.0
2021,Canada,Research Scientist,Mid Level,125626.0,100.0
2021,Canada,Research Scientist,Senior Level,96113.0,50.0
2021,Chile,Data Scientist,Mid Level,40038.0,100.0
2021,China,Research Scientist,Entry Level,100000.0,0.0
2021,Colombia,Machine Learning Engineer,Entry Level,21844.0,50.0
2021,Czech Republic,Research Scientist,Mid Level,69999.0,50.0
2021,Denmark,Marketing Data Analyst,Senior Level,88654.0,100.0
2021,France,Data Analyst,Entry Level,59102.0,50.0
2021,France,Data Science Manager,Senior Level,152000.0,100.0
2021,France,Data Scientist,Entry Level,43144.5,50.0
2021,France,Data Scientist,Senior Level,65438.0,50.0
2021,France,Research Scientist,Mid Level,59693.5,50.0
2021,Germany,Data Analyst,Senior Level,63831.0,50.0
2021,Germany,Data Analytics Engineer,Senior Level,79197.0,100.0
2021,Germany,Data Engineer,Entry Level,65013.0,50.0
2021,Germany,Data Science Consultant,Entry Level,72499.0,50.0
2021,Germany,Data Scientist,Mid Level,73913.5,62.5
2021,Germany,Director of Data Science,Executive Level,135936.0,25.0
2021,Germany,Machine Learning Engineer,Entry Level,54911.5,75.0
2021,Germany,Machine Learning Engineer,Senior Level,94564.0,50.0
2021,Germany,Principal Data Scientist,Senior Level,173762.0,100.0
2021,Greece,Data Science Engineer,Mid Level,40189.0,100.0
2021,India,Big Data Engineer,Entry Level,16228.0,100.0
2021,India,Big Data Engineer,Mid Level,22611.0,0.0
2021,India,Data Engineer,Entry Level,26032.5,75.0
2021,India,Data Science Manager,Senior Level,94665.0,50.0
2021,India,Data Scientist,Entry Level,29075.0,75.0
2021,India,Data Scientist,Mid Level,20059.333333333332,33.333333333333336
2021,India,Lead Data Analyst,Mid Level,19609.0,100.0
2021,India,Lead Data Scientist,Senior Level,40570.0,50.0
2021,India,Machine Learning Engineer,Entry Level,20000.0,100.0
2021,India,Machine Learning Engineer,Senior Level,45303.5,50.0
2021,"Iran, Islamic Republic of",Data Engineer,Mid Level,4000.0,100.0
2021,Iraq,Machine Learning Developer,Entry Level,100000.0,50.0
2021,Israel,Data Scientist,Mid Level,119059.0,100.0
2021,Italy,Machine Learning Engineer,Mid Level,51064.0,50.0
2021,Japan,Director of Data Science,Senior Level,168000.0,0.0
2021,Japan,ML Engineer,Mid Level,70537.5,50.0
2021,Japan,Machine Learning Engineer,Mid Level,74000.0,50.0
2021,Kenya,BI Data Analyst,Entry Level,9272.0,100.0
2021,Luxembourg,Business Data Analyst,Entry Level,59102.0,100.0
2021,Malta,Data Engineer,Mid Level,28369.0,50.0
2021,Mexico,Data Scientist,Mid Level,2859.0,0.0
2021,"Moldova, Republic of",Big Data Engineer,Mid Level,18000.0,0.0
2021,Netherlands,Data Engineer,Mid Level,45391.0,100.0
2021,Nigeria,Data Scientist,Mid Level,50000.0,100.0
2021,Poland,Data Engineer,Mid Level,28476.0,100.0
2021,Poland,Director of Data Science,Executive Level,153667.0,100.0
2021,Poland,Machine Learning Engineer,Mid Level,46597.0,100.0
2021,Portugal,Research Scientist,Senior Level,60757.0,50.0
2021,Romania,Big Data Engineer,Mid Level,60000.0,50.0
2021,Russian Federation,Head of Data,Executive Level,230000.0,50.0
2021,Russian Federation,Head of Data Science,Executive Level,85000.0,0.0
2021,Singapore,Cloud Data Engineer,Mid Level,89294.0,50.0
2021,Slovenia,Head of Data,Senior Level,102839.0,100.0
2021,Slovenia,Machine Learning Engineer,Mid Level,24823.0,50.0
2021,Spain,AI Scientist,Senior Level,55000.0,100.0
2021,Spain,Data Science Consultant,Executive Level,69741.0,100.0
2021,Spain,Data Scientist,Mid Level,42317.0,100.0
2021,Spain,Machine Learning Engineer,Mid Level,47282.0,100.0
2021,Switzerland,Big Data Engineer,Entry Level,5882.0,0.0
2021,Turkey,Data Engineer,Mid Level,20059.5,50.0
2021,Turkey,Data Scientist,Senior Level,20171.0,50.0
2021,Ukraine,Data Scientist,Entry Level,13400.0,100.0
2021,United Kingdom,Applied Data Scientist,Entry Level,110037.0,0.0
2021,United Kingdom,Data Analyst,Mid Level,51519.0,50.0
2021,United Kingdom,Data Analytics Engineer,Senior Level,50000.0,100.0
2021,United Kingdom,Data Engineer,Mid Level,73587.33333333333,66.66666666666667
2021,United Kingdom,Data Engineer,Senior Level,86557.5,50.0
2021,United Kingdom,Data Scientist,Mid Level,86585.0,50.0
2021,United Kingdom,Director of Data Engineering,Senior Level,113476.0,100.0
2021,United Kingdom,Finance Data Analyst,Senior Level,61896.0,50.0
2021,United Kingdom,Lead Data Engineer,Senior Level,103160.0,100.0
2021,United Kingdom,Research Scientist,Entry Level,82528.0,50.0
2021,United States,Applied Machine Learning Scientist,Mid Level,230700.0,75.0
2021,United States,BI Data Analyst,Entry Level,55000.0,50.0
2021,United States,BI Data Analyst,Executive Level,150000.0,100.0
2021,United States,BI Data Analyst,Mid Level,68129.5,75.0
2021,United States,Cloud Data Engineer,Senior Level,160000.0,100.0
2021,United States,Computer Vision Software Engineer,Entry Level,70000.0,100.0
2021,United States,Computer Vision Software Engineer,Mid Level,95746.0,100.0
2021,United States,Data Analyst,Entry Level,70000.0,100.0
2021,United States,Data Analyst,Mid Level,89166.66666666667,66.66666666666667
2021,United States,Data Analyst,Senior Level,140000.0,100.0
2021,United States,Data Analytics Engineer,Mid Level,110000.0,100.0
2021,United States,Data Analytics Manager,Senior Level,126666.66666666667,66.66666666666667
2021,United States,Data Architect,Mid Level,166666.66666666666,100.0
2021,United States,Data Engineer,Entry Level,76250.0,100.0
2021,United States,Data Engineer,Mid Level,118293.0,70.0
2021,United States,Data Engineer,Senior Level,145000.0,75.0
2021,United States,Data Engineering Manager,Senior Level,159000.0,66.66666666666667
2021,United States,Data Science Consultant,Entry Level,90000.0,100.0
